Sumber Sheet,Tanggal Gabungan,Month,Product,Kategori,Hari,Bulan,Tahun,Batch,Umur,Domisili,Kota,Kota(Jabodetabek),Provinsi,Negara,Background pendidikan,Asal Sekolah,Level pendidikan,Jurusan pendidikan,Jurusan,Jurusan S2 (jika ada),Kesibukan sekarang apa,Kategori Kesibukan,Level Pekerjaan,Kategori Pekerjaan,Waktu terakhir bekerja (kalau lagi nggak kerja/intern),Kegiatan yang dilakukan waktu luang/Hobi,Alasan mengambil kategori Bootcamp,Motivasi mengikuti bootcamp,Dengar Dibimbing darimana,Channel,Mengapa memilih Dibimbing,Pernah/Tidak memiliki pengalaman di bidang yang diambil,Apakah memiliki skill bahasa inggris,Penyaluran Kerja,Blog dibimbing,Community,Pernah ikut acara dibimbing/tidak,Catatan,Pengembalian Kontrak
DS,30/Jun/2025,Jun 2025,Data Science,JCJC+,30,Jun,2025,36+,22,"Bogor, Jawa Barat", Bogor,Jabodetabek,Jawa Barat,Indonesia,Institut Pertanian Bogor,Institut Pertanian Bogor (IPB),Middle,S1 (Ekonomi Pembangunan),Ekonomi,-,"""- Mahasiswa semester akhir
- Job seeker""",Job seeker,Low,Mahasiswa,-,-,,,,,,Saya pernah menjadi data analyst untuk penelitian dosen dan ekonomi,B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,,Tidak,Tidak,,-
HR,30/Jun/2025,Jun 2025,Human Resource,CAJC,30,Jun,2025,9+,25,"Bekasi, Jawa Barat",Bekasi,Jabodetabek,Jawa Barat,Indonesia,Universitas Katolik Parahyangan,Universitas Katolik Parahyangan (UNPAR),Middle,S1 (Administrasi Publik),Administrasi Publik,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,,,,,,Belum ada pengalaman di bidang HR,A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,,-
ML,30/Jun/2025,Jun 2025,AI Machine Learning,CAJC,30,Jun,2025,8,22,Surabaya, Surabaya, Surabaya,Jawa Timur,Indonesia,Universitas komputer indonesia,Universitas Komputer Indonesia (UNIKOM),,S1 Teknik Informatika,Teknik Informatika,-,Bekerja sebagai Infrastructur,Pekerja,Middle,Karyawan Swasta,-,-,,,,,,Tidak ada ,A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,,
HR,30/Jun/2025,Jun 2025,Human Resource,CAJC,30,Jun,2025,9+,25,"Bekasi, Jawa Barat",Bekasi,Jabodetabek,Jawa Barat,Indonesia,Universitas Katolik Parahyangan,Universitas Katolik Parahyangan (UNPAR),Middle,S1 (Administrasi Publik),Administrasi Publik,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,"Kenapa memilih job connector plus karena ada fasilitas djob connect yang lebih maksimal dan adanya garansi, sehingga cocok untuknya yang saat ini ingin dibantu untuk mencari kerja dibidang HR","Berdasarkan dari background pendidikan sudah sedikit tahu dengan bidang HR. Oleh karena itu, ingin belajar mendalami bidang HR ini, sekaligus mencoba peluang baru, siapa tahu bisa bekerja dibidang HR. Hal tersebutlah yang membuatnya tertarik untuk ikut dan mendaftar di bootcamp ini",Google Search Sendiri,Organic,"Rekomendasi dari teman & harga affordable (memilih Dibimbing karena mendapat rekomendasi dari teman tetapi temannya itu belum pernah ikut bootcamp di Dibimbing. Temannya ini sebagai partner untuk berdiskusi saat akan menentukan pilihan ke Dibimbing. Selain itu, setelah berdiskusi dengan temannya itu merasa bahwa harga di Dibimbing itu affordable)","Rekomendasi dari teman & harga affordable (memilih Dibimbing karena mendapat rekomendasi dari teman tetapi temannya itu belum pernah ikut bootcamp di Dibimbing. Temannya ini sebagai partner untuk berdiskusi saat akan menentukan pilihan ke Dibimbing. Selain itu, setelah berdiskusi dengan temannya itu merasa bahwa harga di Dibimbing itu affordable)",A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,"Google search sendiri (tahu Dibimbing pertama kali dari search di Google secara general terkait dengan bootcamp dan dari hasil pencarian muncul salah satu platformnya, yakni Dibimbing)",-
ML,30/Jun/2025,Jun 2025,AI Machine Learning,CAJC,30,Jun,2025,8,22,Surabaya, Surabaya, Surabaya,Jawa Timur,Indonesia,Universitas Komputer Indonesia,Universitas Komputer Indonesia (UNIKOM),Middle,S1 (Teknik Informatika),Teknik Informatika,-,Bekerja sebagai Infrastructur,Pekerja,Middle,Karyawan Swasta,-,-,"Kenapa memilih job connector karena fasilitas untuk job connector lebih cocok untuk kebutuhannya yang ingin switch career dibidang AI Machine Learning, karena bidang AI Machine Learning ini sebagai bidang baru yang ingin dipelajari, walauoun secara background sudah familiar dengan bidang IT","Saat ini sudah bekerja dibidang IT tetapi ingin mempelajari bidang AI Machine Learning ini, karena bidang ini menjadi bidang yang baru untuknya, sehingga ingin mempelajarinya agar bisa meningkatkan kesempatan kerja yang lebih luas lagi, karena ada rencana untuk switch career juga dibidang tersebut. Oleh karena itu, tetarik untuk mengikuti bootcamp ini agar bisa mendapat pendampingan belajar dan persiapan karir yang lebih maksimal",Referral,Refferal,"Rekomendasi teman (memlih Dibimbing karena mendapatkan rekomendasi dari temannya yang sudah pernah ikut bootcamp Dibimbing, yakni kak Bayu yang pernah ikut bootcamp BI, DS, ML dan DE, sehingga secara garis besar mengetahui sistem atau gabaran bootcamp di Dibimbing. Kemudian juga mendapat saran dari temannya, yakni kak Sarah, hanya saja dia tidak mengetahui kak Sarah ini alumni Dibimbing atau bukan)","Rekomendasi teman (memlih Dibimbing karena mendapatkan rekomendasi dari temannya yang sudah pernah ikut bootcamp Dibimbing, yakni kak Bayu yang pernah ikut bootcamp BI, DS, ML dan DE, sehingga secara garis besar mengetahui sistem atau gabaran bootcamp di Dibimbing. Kemudian juga mendapat saran dari temannya, yakni kak Sarah, hanya saja dia tidak mengetahui kak Sarah ini alumni Dibimbing atau bukan)",A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,"Referral (tahu Dibimbing pertama kali dari rekomendasi teman atas nama kak Sarah, tetapi dia tidak mengetahuinya apakah kak Sarah alumni Dibimbing atau bukan. Kemudian, dia juga mengetahui Dibimbing dan hingga akhirnya daftar di Dibimbing itu dari kak Bayu yang merupakan alumni Dibimbing di bootcamp BI, DS, ML dan DE)",
DE,1/Jul/2025,Jul 2025,Data Engineering,CAJC,1,Jul,2025,11,24,"Jakarta Selatan, DKI Jakarta",Jakarta,Jabodetabek,DKI Jakarta,Indonesia,D3 (Institut Pertanian Bogor),Institut Pertanian Bogor (IPB),High,D3 (Teknik Komputer),Teknik Komputer,-,Bekerja sebagai IT Engineer,Pekerja,Middle,Karyawan Swasta,-,-,"Kenapa memilih career accelerator karena dia merasa kebutuhannya saat ini cocok yang career accelerator dan dia sudah bekerja, sehingga lebih memilih yang career accelerator","Pengen nambah skill dan switch career serta diawal sempat bingung antara data analyst atau data engineering namun setelah dipertimbangkan lebih technical di data engineering, sehingga lebih memilih data engineering dan tujuan utamanya selain untuk mengembangkan skill sebelumnya untuk menunjang career kedepannya di bidang ini",Referral,Refferal,"Rekomendasi teman dan silabus lengkap (kenapa memilih Dibimbing karena dia dapat rekomendasi dari temannya dan terkait silabusnya cocok dengan dia, sehingga yakin dengan Dibimbing)","Rekomendasi teman dan silabus lengkap (kenapa memilih Dibimbing karena dia dapat rekomendasi dari temannya dan terkait silabusnya cocok dengan dia, sehingga yakin dengan Dibimbing)",B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,Tidak,Tidak,Tidak,Referral (rekomendasi temannya atas nama Revo Berliana pernah ikut bootcamp di Dibimbing),-
DS,1/Jul/2025,Jul 2025,Data Science,JCJC+,1,Jul,2025,36+,22,"Bogor, Jawa Barat", Bogor,Jabodetabek,Jawa Barat,Indonesia,Institut Pertanian Bogor,Institut Pertanian Bogor (IPB),Middle,S1 (Ekonomi Pembangunan),Ekonomi,-,"""- Mahasiswa semester akhir
- Job seeker""",Job seeker,Low,Mahasiswa,-,-,"Kenapa memilih job connector+ karena outputnya lebih maksimal untuknya yang ingin berkarir dibidang data analyst & data science, sehingga ingin persiapan karir dan proses belajar yang lebih maksimal","Sebelumnya sudah tertarik tentang data, namun saat kuliah tidak begitu spesifik dalam mempelajari data, sehingga ingin untuk improve dan mendalami ilmu serta skill dibidang data analyst dan data science, karena ada keinginan untuk bisa berkarir dibidang data analyst dan data science. Oleh karena itu, tertarik mengikuti bootcamp ini untuk proses belajar dan persiapan karirnya",Referral,Refferal,"Rekomendasi teman dan fasilitas job connect (memilih Dibimbing karena mendapat rekomendasi temannya yang juga ikut bootcamp digital marketing di Dibimbing, sehingga mengetahui gambaran bootcamp di Dibimbing. Kemudian, setelah compare dengan platform lain, semakin tertarik dengan Dibimbing karena adanya fasilitas job connect yang platform lainnya belum punya fasilitas itu)","Rekomendasi teman dan fasilitas job connect (memilih Dibimbing karena mendapat rekomendasi temannya yang juga ikut bootcamp digital marketing di Dibimbing, sehingga mengetahui gambaran bootcamp di Dibimbing. Kemudian, setelah compare dengan platform lain, semakin tertarik dengan Dibimbing karena adanya fasilitas job connect yang platform lainnya belum punya fasilitas itu)",B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,,Tidak,Tidak,Referral (tahu Dibimbing pertama kali dari rekomendasi temannya atas nama kak Yumiko Alida yang mengikuti bootcamp Digital Marketing di Dibimbing estimasi bulan Januari atau Februari 2025),-
DS,1/Jul/2025,Jul 2025,Data Science,JCJC+,1,Jul,2025,37,25,"Jakarta Timur, DKI Jakarta",Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Islam Indonesia,Universitas Islam Indonesia (UII),High,S1 (Manajemen),Management,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,"Kenapa memilih job connector reguler karena dari segi harga dan fasilitas lebih sesuai dengan yang ada job connector reguler. Selain itu, job connector reguler sudah bisa memenuhi tujuannya yang ingin mendalami ilmu dan skill bidang data analyst & data science ini","Tertarik mengikuti bootcamp karena adanya keinginan switch career untuk bekerja dibidang data analyst dan data science, sehingga ingin mendalami ilmu serta skill bidang data analyst dan data science sekaligus persiapan karir untuk switch careernya, karena saat ini dia juga sebagai job seeker",Referral,Refferal,"Rekomendasi teman dan harga affordable (memlih Dibimbing karena mendapat rekomendasi temannya, walauoun untuk temannya itu belum pernah ikut bootcamp di Dibimbing. Selain itu, memilih Dibimbing karena harganya yang affordable)","Rekomendasi teman dan harga affordable (memlih Dibimbing karena mendapat rekomendasi temannya, walauoun untuk temannya itu belum pernah ikut bootcamp di Dibimbing. Selain itu, memilih Dibimbing karena harganya yang affordable)",A2 Pre-intermediate (use the language for daily activities with vocab level approximating 1500 words),Tertarik,,Tidak,Tidak,"Referral (tahu Dibimbing pertama kali dari rekomendasi teman atas nama kak Agung, tetapi temannya itu belum pernah ikut bootcamp di Dibimbing)",-
UIUX,1/Jul/2025,Jul 2025,UI/UX,JCJC+,1,Jul,2025,31+,24,"Kabupaten Bogor, Jawa Barat", Bogor,Jabodetabek,Jawa Barat,Indonesia,Universitas Gunadarma,Universitas Gunadarma,Middle,S1 (Sistem Informasi),Sistem Informasi,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,"Kenapa memilih job connector + karena saat ini dia masih job seeker dan mungkin dengan mengikuti job connector + menjadi salah satu koneksi dia kedepannya untuk mendapat pekerjaan atau peluang karier lebih luas, sehingga lebih memilih yang job connector +","Kenapa tertarik dengan UI UX karena dia suka mendesign, mengedit dan mengkreasikan ide-ide yang dia miliki untuk divisualisasikan menjadi sebuah media dan goalsnya karena dia ingin bisa menciptakan sebuah ide atau menyampaikan sebuah ide kreativitas yang inovatif dan membantu user atau pengguna lain yang melihatnya serta dari awal sudah yakin di program ini tidak berpikir ke program lain, sehingga tujuan utamanya selain untuk mengembangkan skill sebelumnya untuk menunjang career kedepannya di bidang ini",Instagram Ads,Meta Ads,Penjelasan tim konsultan detail (kenapa memilih Dibimbing karena dia lihat visi misinya Dibimbing tertarik lalu konsultasi bersama dengan tim konsultan detail dan membuat dia merasa yakin),Penjelasan tim konsultan detail (kenapa memilih Dibimbing karena dia lihat visi misinya Dibimbing tertarik lalu konsultasi bersama dengan tim konsultan detail dan membuat dia merasa yakin),A2 Pre-intermediate (use the language for daily activities with vocab level approximating 1500 words),Tertarik,,Tidak,Tidak,Instagram Ads (tahu Dibimbing dari ads instagram tiba-tiba muncul lalu dia lihat-lihat tertarik dan register),-
CS,1/Jul/2025,Jul 2025,Cyber Security,CAJC,1,Jul,2025,3,31,"Kota Bekasi, Jawa Barat",Bekasi,Jabodetabek,Jawa Barat,Indonesia,Universitas Gunadarma,Universitas Gunadarma,Middle,S1 (Sistem Informasi),Sistem Informasi,-,Bekerja sebagai on air presentation,Pekerja,Middle,Karyawan Swasta,-,-,"Kenapa memilih job connector karena mungkin pasti sulit jika tidak dibantu penyaluran kerja karena tidak relevan dengan experiencenya, sehingga lebih memilih job connector supaya lebih dibantu dan menurutnya sudah sesuai kebutuhannya saat ini","Dia tertarik cyber security karena melihat opportunity dan cyber security banyak dicari tetapi masih sedikit SDMnya untuk tujuannya pengen switch career namun sebelumnya sempat ingin ke AI ML tetapi setelah dia lihat background pendidikannya sistem informasi AI ML dan cyber security sama-sama masih linier namun dia tidak suka ngoding dan lebih tertarik serta menurutnya peluangnya menjanjikan di cyber security, sehingga lebih memilih cyber security dan tujuan utamanya selain untuk mengembangkan skill sebelumnya untuk menunjang career kedepannya di bidang cyber security",Instagram Ads,Meta Ads,Testimoni (kenapa memilih Dibimbing karena melihat dari segi banyak yang merekomendasikan dan di instagramnya banyak influencer yang dia follow juga mengikuti instagramnya Dibimbing membuatnya yakin dan memilih Dibimbing),Testimoni (kenapa memilih Dibimbing karena melihat dari segi banyak yang merekomendasikan dan di instagramnya banyak influencer yang dia follow juga mengikuti instagramnya Dibimbing membuatnya yakin dan memilih Dibimbing),A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,,Tidak,Tidak,Instagram Ads (tahu Dibimbing dari ads instagram tiba-tiba muncul lalu dia lihat-lihat tertarik dan register),-
ML,2/Jul/2025,Jul 2025,AI Machine Learning,CAJC,2,Jul,2025,8,19,"Malang, Jawa Timur", Malang, Malang,Jawa Timur,Indonesia,MA Darut Tauhid Malang,SMA,Low,SMA (IPS),SMA,-,Karyawan,Pekerja,Middle,Karyawan Swasta,-,-,Kenapa memilih job connector karena terdapat fasilitas penyaluran kerjanya yang membuat dia tertarik untuk bisa bekerja di bidang AIML,"Tertarik dengan bidang data dan sebelumnya pernah kuliah selama 1 semester tapi tidak selesai, maka ingin belajar melalui bootcamp ini saja agar bisa menunjang karir kedepannya",Tik Tok Ads,TikTok Ads,Penyaluran kerja (belum pernah compare dengan platform lain karena di dibimbing ada penyaluran kerjanya jadi tertarik agar bisa mencari kerja dan dibantu sama tim dibimbing),Penyaluran kerja (belum pernah compare dengan platform lain karena di dibimbing ada penyaluran kerjanya jadi tertarik agar bisa mencari kerja dan dibantu sama tim dibimbing),A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,Tiktok (tahu dibimbing dari tiktok dan coba konsultasi dengan tim akhirnya tertarik untuk daftar),
DS,2/Jul/2025,Jul 2025,Data Science,JCJC+,2,Jul,2025,36+,25,"Depok, Jawa Barat", Depok,Jabodetabek,Jawa Barat,Indonesia,Universitas Muhammadiyah Prof.Dr.Hamka,Universitas Muhammadiyah (UM),Middle,S1 (Pendidikan Agama Islam),Pendidikan Agama Islam,-,Bekerja sebagai divisi Dokumen expor impor di perusahaan forwarding,Pekerja,Middle,Karyawan Swasta,-,-,"Kenapa memilih program plus karena sebelumnya kakaknya student yang ikut bootcamp namun dialihkan ke adiknya saat ini, jadi pilih program plus karena hanya mengikuti program awal kakaknya",Tertarik untuk belajar data dan sebelumnya juga pernah belajar data science tapi tidak mendalam dan tidak menutup opportunity pekerjaan yang ada di data science & analyst,Referral,Refferal,Melanjutkan program kakaknya (kakaknya an Siti Hafizah mengalihkan bootcamp ini ke adiknya dan adiknya juga tertarik dengan dibimbing karena melihat social medianya cukup aktif dan verified),Melanjutkan program kakaknya (kakaknya an Siti Hafizah mengalihkan bootcamp ini ke adiknya dan adiknya juga tertarik dengan dibimbing karena melihat social medianya cukup aktif dan verified),A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,,Tidak,Tidak,Referral kakak (mendapat arahan kakaknya an Siti Hafizah yang mengalihkan bootcamp ini ke adiknya sehingga tahu dibimbing dari kakaknya tersebut),-
UIUX,2/Jul/2025,Jul 2025,UI/UX,JCJC+,2,Jul,2025,31+,26,"Kab. Semarang, Jawa Tengah", Semarang, Semarang,Jawa Tengah,Indonesia,Universitas Kristen Satya Wacana,Universitas Kristen Satya Wacana,Middle,S1 (Teknik Informatika),Teknik Informatika,-,Content Creator,Usaha,Middle,Freelance,-,-,"Kenapa memilih job connector + karena dia ingin mendapatkan fasilitas 1 on 1 supaya lebih maksimal ketika mengikuti pembelajaran dan pertimbangan lain karena ada internship serta job connector menurutnya akan sesuai dengan kebutuhannya saat ini, sehingga lebih memilih yang job connector +","Kenapa tertarik sebenarnya awalnya backgroundnya IT dan pernah jadi front end developer waktu intern di perusahaan namun switch ke UI UX karena di perusahaan tsb tidak ada UI UX lebih belajar sendiri otodidak dan dari front end visual juga lalu ke UI UX switch career selama hampir 2 tahun karena dia belajar secara otodidak dia butuh belajar dari ahli menurutnya secara UI itu dia sudah bagus namun kalau UX merasa kurang dan butuh mentor sebelumnya dia tertampar mengenai dokumentasi UX kalau belajar sendiri tidak punya mentor dan di kantor tidak ada kenalan atau role yang sama jadi kurang maksimal lalu resign dari company tsb dan job seeker selama 1 tahun apply lagi untuk ilmu yang dia cari sudah berkembang serta dia dari awal sudah yakin di program UI UX tidak berpikir ke program lain, sehingga tujuan utamanya selain untuk mengembangan skill sebelumnya untuk menunjang career kedepannya di bidang ini dengan dibantu Dibimbing",Instagram Ads,Meta Ads,Fasilitas 1 on 1 dan job connector (kenapa memilih Dibimbing karena tertarik dengan fasilitas 1 on 1 dan job conector menurutnya cocok dengan dia yang sedang cari kerja),Fasilitas 1 on 1 dan job connector (kenapa memilih Dibimbing karena tertarik dengan fasilitas 1 on 1 dan job conector menurutnya cocok dengan dia yang sedang cari kerja),B1 Intermediate (have simple coversation about familiar topics with vocab level approximating 2500 words),Tertarik,,Tidak,Tidak,Instagram Ads (tahu Dibimbing dari ads instagram tiba-tiba muncul lalu dia lihat sekilas namun setelah itu dia menemukan lagi di tik tok dia lihat-lihat tertarik dan register),-
DS,2/Jul/2025,Jul 2025,Data Science,JCJC+,2,Jul,2025,37,22,"Kota Bekasi, Jawa Barat",Bekasi,Jabodetabek,Jawa Barat,Indonesia,UPN Veteran Jakarta,UPN Veteran Jakarta,High,S1 Sistem Informasi,Sistem Informasi,-,Bekerja sebagai QA,Pekerja,Middle,Karyawan Swasta,-,-,Kenapa memilih job connector reguler karena ingin mengetahui dulu potensi dirinya dan ingin belajar dari basic belum fokus untuk advance,Karena saat kuliah tidak maksimal belajar di data science & analyst sehingga harus mengikuti course seperti dibimbing ini agar bisa menunjang goals menjadi data analyst kedepannya ,Instagram Ads,Meta Ads,Melihat dari segi harga cocok dan riset alumninya juga lumayan oke sehingga tertarik dan daftar di dibimbing,Melihat dari segi harga cocok dan riset alumninya juga lumayan oke sehingga tertarik dan daftar di dibimbing,A2 Pre-intermediate (use the language for daily activities with vocab level approximating 1500 words),Tertarik,,Tidak,Tidak,"Instagram Ads dan google (awalnya tahu dari iklan instagram lalu searching di google untuk lebih jelasnya dan melihat harganya cocok serta alumninya cukup banyak dan oke, akhirnya mendaftar di dibimbing)",-
BI,2/Jul/2025,Jul 2025,Business Intelligence,CAJC,2,Jul,2025,17,23,"Gresik, Jawa Timur", Gresik, Gresik,Jawa Timur,Indonesia,Telkom University at Surabaya,Universitas Telkom (Tel-U),Middle,S1 (Teknik Industri),Teknik Industri,-,Magang sebagai Incoming Quality Control,Pekerja,Middle,Freelance,-,-,Kenapa memilih job connector karena saat ini fresh graduate maka ingin mencari pekerjaan melalui program penyaluran kerja di job connector pada bidang business intelligence,Ingin mencari pekerjaan di business intelligence karena sebelumnya sudah ada basicnya walaupun tidak terlalu dalam dan juga karena lingkungan kerja saat ini kurang nyaman,Instagram Search Sendiri,Instagram,"Admin yang fast respon (setelah konsultasi, tertarik dengan arahan dari admin yaitu fast respon dan penjelasannya cukup jelas sehingga tertarik dan memilih dibimbing) ","Admin yang fast respon (setelah konsultasi, tertarik dengan arahan dari admin yaitu fast respon dan penjelasannya cukup jelas sehingga tertarik dan memilih dibimbing) ",A1 Beginner (use simple phrases for basic needs with vocab level approximating 700 words),Tertarik,Tidak,Tidak,Tidak,"Instagram search sendiri (di instagram search bootcamp lalu keluar instagram dibimbing, dan ketika riset lalu konsultasi maka tertarik karena adminnya fast respon dan penjelasannya terarah)",-
DS,3/Jul/2025,Jul 2025,Data Science,JCJC+,3,Jul,2025,36+,25,Jakarta,Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Institut Teknologi Bandung,Institut Teknologi Bandung (ITB),High,S1 (Engineering Management),Management,-,Bekerja sebagai Project Analyst,Pekerja,Middle,Karyawan Swasta,-,-,Kenapa memilih job connector plus karena tertarik dengan mentoring dan networkingnya agar membantu dapat membantu student untuk mendapatkan pekerjaan di bidang ini,Tujuannya ingin mengasah skill dan belajar terkait data science & analyst untuk memiliki side job secara remote dan bisa bekerjanya ke luar negeri,Referral,Refferal,Waktu atau jadwal selama bootcamp (Pernah compare dengan platform lain namun lebih memilih dibimbing karena jadwalnya ada di weekend. Karena student saat ini sedang bekerja jadi tidak memungkinkan untuk memilih di jadwal yang ada di weekdays),Waktu atau jadwal selama bootcamp (Pernah compare dengan platform lain namun lebih memilih dibimbing karena jadwalnya ada di weekend. Karena student saat ini sedang bekerja jadi tidak memungkinkan untuk memilih di jadwal yang ada di weekdays),C1 Advanced (express yourself fluently in any situation with vocab level approximating 8000 words),Tertarik,,Tidak,Tidak,Referral (tahu dibimbing awalnya karena pernah internship di dibimbing selama 6 bulan pada business development dan sekarang tertarik untuk join bootcampnya),-
HR,3/Jul/2025,Jul 2025,Human Resource,CAJC,3,Jul,2025,9+,24,"Jakarta Utara, DKI Jakarta",Jakarta,Jabodetabek,DKI Jakarta,Indonesia,Universitas Katolik Indonesia Atma,Universitas Katolik Indonesia Atma,Middle,S1 (Psikologi),Psikologi,-,Job Seeker,Job seeker,Low,Job Seeker,-,-,Kenapa memilih job connector plus karena melihat dari fasilitas yang ditawarkan sudah sangat lengkap termasuk ada sertifikasi BNSP jadi sekalian saja ,"Walaupun di kampus pernah belajar tentang materi apa yang akan di pelajari melalui bootcamp ini, student tetap ingin memperdalam lagi dan mengasah skillnya dengan praktik karena dia belum pernah sama sekali praktik di bidang HR seperti internship, agar memiliki pengalaman lebih dulu sebelum nantinya bekerja di bidang HR",Instagram Search Sendiri,Instagram,"Fasilitas lengkap dan silabusnya detail (pernah coba compare ke platform lain dan yang jadi pertimbangan adalah melihat fasilitasnya sangat lengkap seperti BNSP, 1o1 sesi, dll. Silabusnya dtiulis secara detail jadi membuat student tertarik)","Fasilitas lengkap dan silabusnya detail (pernah coba compare ke platform lain dan yang jadi pertimbangan adalah melihat fasilitasnya sangat lengkap seperti BNSP, 1o1 sesi, dll. Silabusnya dtiulis secara detail jadi membuat student tertarik)",A2 Pre-intermediate (use the language for daily activities with vocab level approximating 1500 words),Tertarik,Tidak,Tidak,Tidak,Instagram searching sendiri (search di instagram untuk cari platform bootcamp dan akhirnya menemukan dibimbing yang sesuai dengan kebutuhannya student) ,-
DS,3/Jul/2025,Jul 2025,Data Science,JCJC+,3,Jul,2025,37,29,Ciputat tangerang selatan,Ciputat,Ciputat,Banten,Indonesia,Universitas Diponegoro,Universitas Diponegoro (UNDIP),High,S1 (Kesehatan Masyarakat),Kesehatan Masyarakat,-,Job seeker,Job seeker,Low,Job Seeker,-,-,"Kenapa memilih program job connector reguler karena kalau ambil yang + sudah tidak eligible untuk usianya yang 29 + berapa bulan jadi mending ambil yang reguler kalau semisal butuh ilmu lebih nanti bisa ambil course lagi untuk ekstranya, sehingga lebih memilih job connector reguler","Setelah lulus kuliah sempat kerja di Australia sebagai buruh di tambang atau macam macam dan terkait data dia tertarik tentang insightnya dsb makanya tertarik untuk mendalami data science dan analyts karena pekerjaan di masa depan banyak dibutuhkan terkait dengan data ini dan pengen bekerja di luar negeri lagi karena dia melihat ada yang membuat postingan kerja di Singapore yang tadinya backgroundnya pertanian namun sebelumnya sempat ingin ke data engineering karena ada lowongan NGO yang lebih ke data engineeing tetapi dia merasa bassicnya lebih ke data analyst dan science kalaupun semisal untuk pengembangan nanti bisa cari course lagi, sehingga lebih memilih data analyst dan science dan tujuan utamanya selain untuk mengembangkan skill sebelumnya untuk menunjang career kedepannya di bidang ini",Instagram Search Sendiri,Instagram,Fasilitas job connector dan partnership Dibimbing (kenapa memilih Dibimbing karena lihat dari segi job connector dan partnershipnya banyak ini sesuai yang dia butuhkan saat ini),Fasilitas job connector dan partnership Dibimbing (kenapa memilih Dibimbing karena lihat dari segi job connector dan partnershipnya banyak ini sesuai yang dia butuhkan saat ini),C1 Advanced (express yourself fluently in any situation with vocab level approximating 8000 words),Tertarik,,Tidak,Tidak,Instagram search sendiri (tahu Dibimbing dari instagram awalnya lihat CO-Foundernya masuk Forbes lalu dia telusuri ke instagram Dibimbing dia lihat-lihat tertarik dan register),-
DE,3/Jul/2025,Jul 2025,Data Engineering,CAJC,3,Jul,2025,11,28,"Batam, Kepulauan Riau", Batam, Batam,Kepulauan Riau,Indonesia,Universitas Indonesia,Universitas Indonesia (UI),High,S1 (Teknik Elektro),Teknik Elektro,S2 (Electronics) di Queen's University Belfast,Bekerja sebagai System Engineer,Pekerja,Middle,Karyawan Swasta,-,-,Kenapa memilih job connector karena role pekerjaannya sebagai system engineer saat ini sangat terbatas dan ingin coba mendalami data engineering supaya mendapat opportunity yang lebih baik dengan penyaluran kerja yang ada di job cnnector,Ingin mendalami materi data engineering supaya bisa mencari pekerjaan yang lebih bagus dan melihat data engineering ini sangat luas cakupannya maka tertarik untuk upgrade skill ,Referral,Refferal,Rekomendasi teman (temannya an Bagas Haryanto alumni dibimbing pada bootcamp DS dan merekomendasikan dibmibing kepada student Luthfi ini sehingga menjadi tertarik dan termotivasi untuk bekerja di bidang data engineer dengan role yang lebih baik,Rekomendasi teman (temannya an Bagas Haryanto alumni dibimbing pada bootcamp DS dan merekomendasikan dibmibing kepada student Luthfi ini sehingga menjadi tertarik dan termotivasi untuk bekerja di bidang data engineer dengan role yang lebih baik,C1 Advanced (express yourself fluently in any situation with vocab level approximating 8000 words),Tertarik,Tidak,Tidak,Tidak,Referral (mendapat rekomendasi temannya an Bagas Haryanto alumni bootcamp DS dan setelah mendapat rekomendasi akhirnya tertarik dan ingin coba upgrade skill di data engineer karena memang sebelumnya udah mempunyai pengalaman di data engineer),-
